event_id,jurisdiction,date,date_precision,event,instrument_type,status,affects_model,model_parameter,quantified_effect,why_it_matters,source_url
CA-01,canada,2018-06,month,"Greenhouse Gas Pollution Pricing Act comes into force, with a consumer fuel charge and an Output-Based Pricing System for large industry",primary_legislation,in_force,yes,origin_carbon_price_canada_cad,,The industrial half creates the Canadian carbon cost that is deducted from the EU border charge under Article 9,
CA-02,canada,2019/2020,period,"Saskatchewan, Ontario and Alberta challenge the Act. Saskatchewan and Ontario appeal courts uphold it; Alberta finds it unconstitutional",court_ruling,superseded,no,,,"Provincial resistance to carbon pricing is long-standing, not new",
CA-03,canada,2020-12,month,Federal plan sets the carbon price rising to CAD 170/t by 2030,plan,superseded,sensitivity_only,origin_carbon_price_canada_cad,CAD 170/t by 2030,The abandoned high-ambition path. Usable as the upper bound of an accelerated scenario,https://www.canada.ca/en/services/environment/weather/climatechange/climate-plan/climate-plan-overview/healthy-environment-healthy-economy.html
CA-04,canada,2021-03-25,day,"Supreme Court of Canada upholds the Act 6-3, ruling minimum national carbon pricing a matter of national concern",court_ruling,in_force,no,,,"Legal certainty established, which makes the subsequent rollback more striking",
CA-05,canada,2025-04-01,day,Consumer fuel charge set to zero. British Columbia and the Northwest Territories drop their own consumer carbon taxes the same day,regulation,in_force,no,,,The consumer half effectively ends. No direct effect on hydrogen production but it signals political direction,
CA-06,canada,2025-04-01,day,Saskatchewan pauses its industrial carbon pricing system,regulation,in_force,sensitivity_only,origin_carbon_price_canada_cad,,"Erosion reaches the industrial half, which is the half this study depends on",
CA-07,canada,2026-03-12,day,"Bill C-4 permanently repeals the consumer fuel charge, backdated to April 2025. The industrial system is deliberately retained",primary_legislation,in_force,yes,,,Canada now has an industrial-only carbon price,
CA-08,canada,2026-05-15,day,Federal government publishes a revised industrial carbon price path,plan,in_force,yes,origin_carbon_price_canada_cad,"CAD 95 (2026), 100 (2027-2029), 115 (2030), 130 (2035), 140 (2040)",Replaces the 170-by-2030 plan and is a direct input to the Article 9 deduction,https://www.canada.ca/en/environment-climate-change/services/climate-change/pricing-pollution-how-it-will-work/carbon-pollution-pricing-federal-benchmark-information.html
CA-09,canada,2026-mid,period,"Prices actually paid vary widely by province: credits trade near CAD 65 in British Columbia, 72 in Ontario, and as low as about 37.50 where cheap Alberta credits are available",market_event,in_force,sensitivity_only,origin_carbon_price_canada_cad,Effective price CAD 37.50-72 against the CAD 95 federal benchmark used in the model,"The headline national price is not what a Canadian producer faces. The model uses the benchmark, so it overstates the deduction and understates EU CBAM cost",https://carboncredits.com/canadas-carbon-pricing-reset-in-2026-will-industry-step-up-or-stall-climate-progress/
UK-01,uk,2021-01-01,day,"United Kingdom launches its own Emissions Trading Scheme, with a cap 5% below its former share of the EU cap",primary_legislation,in_force,yes,UK_ETS_PRICE_SCENARIOS,Cap set 5% below the former EU share,The two carbon markets separate. This separation is the foundation of the whole study,https://www.nortonrosefulbright.com/en/knowledge/publications/b8b8271f/review-of-the-uk-emissions-trading-scheme-ets-and-potential-future-developments
UK-02,uk,2021-05,month,First United Kingdom carbon auctions take place,market_event,historic,no,,,,
UK-03,uk,2021,year,The post-Brexit Trade and Cooperation Agreement commits both sides to give serious consideration to linking the two carbon markets,treaty,in_force,no,UK_ETS_LINKAGE_IS_LAW,,"Reconnection was always possible, just dormant for several years",
UK-04,uk,2023-summer,period,United Kingdom tightens its cap but releases 53 million extra permits between 2024 and 2027 and raises the free allocation share for industry from 37% to 40%,regulation,in_force,sensitivity_only,UK_CBAM_BASELINE_FREE_ALLOCATION_PCT,53 million extra permits 2024-2027; free allocation share 37% to 40%,These decisions flooded the market and drove the UK carbon price down,https://icapcarbonaction.com/en/news/uk-announces-reforms-align-ets-net-zero-target
UK-05,uk,2023-onwards,period,"United Kingdom and European carbon prices, previously correlated, separate sharply",market_event,historic,no,,,,
UK-06,uk,2024-01,month,United Kingdom carbon price reaches a low of GBP 31.48 per tonne,market_event,historic,sensitivity_only,UK_ETS_PRICE_SCENARIOS,GBP 31.48/t observed low,"Below the model's GBP 40 low scenario, so the sensitivity range does not bracket the observed historic floor",https://carbonrisk.substack.com/p/uk-carbon-market-nadir-has-passed
UK-07,uk,2025-early,period,European carbon permits trade more than 60% above their United Kingdom equivalents,market_event,historic,no,,60% EUA-UKA spread,"A cheap UK carbon price became a liability once the EU border mechanism entered its definitive phase, because UK exporters would face the differential at the EU border",https://www.europarl.europa.eu/RegData/etudes/BRIE/2025/775873/EPRS_BRI(2025)775873_EN.pdf
UK-08,uk,2025-01-late,period,Press reports that linking talks have begun. The United Kingdom carbon price rises 13% in a single day,market_event,historic,no,UK_ETS_LINKAGE_IS_LAW,13% single-day price rise,Strong evidence the market treats reconnection as a genuine prospect rather than diplomatic language,https://reports.electricinsights.co.uk/?p=2567
UK-09,uk,2025-05-19,day,United Kingdom and European Union announce a Common Understanding covering linking the two carbon markets and potentially exempting each other from their respective border charges,proposal,not_law,sensitivity_only,UK_ETS_LINKAGE_IS_LAW,,"Basis for the linked UK price variant. Mutual CBAM exemption does NOT touch either modelled corridor, since neither Canada nor China is party",
UK-10,uk,2025-07,month,United Kingdom confirms shipping will enter its carbon market from July 2026,regulation,in_force,yes,UK_ETS_INTL_VOYAGE_COVERAGE,,,
UK-11,uk,2025-11-12,day,European Union member states unanimously agree to let the Commission open formal negotiations on linking,procedural,in_force,sensitivity_only,UK_ETS_LINKAGE_IS_LAW,,Reconnection moves from idea to formal process,
UK-12,uk,2025-11-25,day,"United Kingdom opens a consultation on extending its carbon market to half the emissions from international voyages, starting 2028",consultation,proposed,yes,UK_ETS_INTL_EXPANSION_EARLIEST_YEAR,50% of international voyage emissions from 2028,This is the fork the model tests in its 2030 projection,
UK-13,uk,2026-01-01,day,Free permits for aircraft operators fully withdrawn,regulation,in_force,no,,,,
